01234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789
Note  ---->  Method_1: 0-Bucerius, 1-Escobal, Method_2: 0-Gauss, 1-Escobal 

eph              a [km]       e            i [deg]      omega [deg]  Omega [deg]  Ma(t) [deg]  Method_1     Method_2     q            Epoch MJD [days]
Expected         0.0          0.0          0.0          0.0          0.0          0.0          -            -            0.0        

0 - 1 - 2      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 1 - 3      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 1 - 4      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 1 - 5      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 1 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 1 - 7      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 2 - 3      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 2 - 4      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 2 - 5      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 2 - 6      	81759.97177	0.214748364	12.34293466	299.4047474	177.8244839	264.4426831	0          	0          	6743.891655	58018.79109375  

0 - 2 - 7      	52427.50288	0.214748364	12.83028235	306.3855509	179.1399484	199.6998299	0          	0          	3060.328263	58018.79109375  

0 - 3 - 4      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 3 - 5      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 3 - 6      	-3139.13740	0.214748364	23.25540022	73.78231271	147.5566945	10229.35389	0          	0          	69134.06905	58018.79109375  

0 - 3 - 7      	370288.1246	0.214748364	20.50445093	354.2793421	155.0861965	5.765174641	0          	0          	5709.268563	58018.79109375  

0 - 4 - 5      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 4 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 4 - 7      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 5 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

0 - 5 - 7      	396204.0560	0.214748364	18.40262540	260.2119946	154.3701265	307.3292066	0          	0          	210933.1745	58018.79109375  

0 - 6 - 7      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.79109375  

1 - 2 - 3      	-2552.15447	0.214748364	38.28595712	127.7001317	295.5103908	-2134.05672	0          	0          	3584.561643	58018.7916377314

1 - 2 - 4      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 2 - 5      	113340.9356	0.214748364	11.14678466	285.1038570	186.3162036	313.7099683	0          	0          	6226.577094	58018.7916377314

1 - 2 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 2 - 7      	1117383.134	0.214748364	13.82681407	281.8297204	167.4298975	357.4625607	0          	0          	23687.62840	58018.7916377314

1 - 3 - 4      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 3 - 5      	-16571.9648	0.214748364	27.33466047	32.92351395	146.7609950	386.3280136	0          	0          	7670.981986	58018.7916377314

1 - 3 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 3 - 7      	-13745.5178	0.214748364	22.26736384	59.50827973	149.6305358	1090.672228	0          	0          	34582.96942	58018.7916377314

1 - 4 - 5      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 4 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 4 - 7      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 5 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 5 - 7      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

1 - 6 - 7      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7916377314

2 - 3 - 4      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7935243055

2 - 3 - 5      	-966.425229	0.214748364	47.28864979	72.26081107	136.6998592	9271.890783	0          	0          	6211.213993	58018.7935243055

2 - 3 - 6      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7935243055

2 - 3 - 7      	-38.1796081	0.214748364	27.55589886	74.61318299	143.5421330	2195058.557	0          	0          	47512.26255	58018.7935243055

2 - 4 - 5      	NaN        	0.0        	NaN        	NaN        	NaN        	NaN        	0          	0          	NaN        	58018.7935243055

