OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1985-028E","LEASAT 3 PKM","16229","US","245.53","26.91","12865","356","LARGE","0","1985-04-12",""
"1985-102D","SL-12 R/B(2)","16214","CIS","1430.96","14.20","35761","35611","LARGE","0","1985-10-25",""
"1982-055N","COSMOS 1375 DEB","16211","CIS","105.11","65.83","1030","970","SMALL","0","1982-06-06",""
"1982-055M","COSMOS 1375 DEB","16210","CIS","104.77","65.83","1011","957","MEDIUM","0","1982-06-06",""
"1982-055L","COSMOS 1375 DEB","16209","CIS","105.01","65.84","1010","980","MEDIUM","0","1982-06-06",""
"1982-055K","COSMOS 1375 DEB","16208","CIS","104.65","65.83","1005","952","MEDIUM","0","1982-06-06",""
"1982-055J","COSMOS 1375 DEB","16207","CIS","106.07","65.84","1110","980","MEDIUM","0","1982-06-06",""
"1982-055H","COSMOS 1375 DEB","16206","CIS","104.86","65.84","1007","969","MEDIUM","0","1982-06-06",""
"1982-055G","COSMOS 1375 DEB","16205","CIS","104.59","65.83","1027","923","MEDIUM","0","1982-06-06",""
"1982-055F","COSMOS 1375 DEB","16204","CIS","104.36","65.83","989","940","MEDIUM","0","1982-06-06",""
"1982-055E","COSMOS 1375 DEB","16203","CIS","103.68","65.84","986","879","MEDIUM","0","1982-06-06",""
"1982-055D","COSMOS 1375 DEB","16202","CIS","103.12","65.83","973","839","SMALL","0","1982-06-06",""
"1985-102A","COSMOS 1700","16199","CIS","1435.77","14.40","35800","35760","LARGE","0","1985-10-25",""
"1985-100B","SL-14 R/B","16194","CIS","110.21","82.55","1248","1225","LARGE","0","1985-10-24",""
"1985-100A","METEOR 3-1","16191","CIS","109.32","82.55","1210","1181","LARGE","0","1985-10-24",""
"1985-098D","SL-6 R/B(2)","16186","CIS","707.90","69.60","33443","6423","LARGE","0","1985-10-22",""
"1985-098A","COSMOS 1698","16183","CIS","717.74","70.99","32890","7462","LARGE","0","1985-10-22",""
"1985-097B","SL-16 R/B","16182","CIS","101.68","71.00","842","834","LARGE","0","1985-10-22",""
"1985-097A","COSMOS 1697","16181","CIS","101.88","70.97","862","834","LARGE","0","1985-10-22",""
"1985-094G","SL-14 R/B","16144","CIS","114.75","82.61","1472","1416","LARGE","0","1985-10-09",""
"1985-094F","COSMOS 1695","16143","CIS","114.02","82.60","1417","1405","MEDIUM","0","1985-10-09",""
"1985-094E","COSMOS 1694","16142","CIS","113.95","82.61","1416","1399","MEDIUM","0","1985-10-09",""
"1985-094D","COSMOS 1693","16141","CIS","113.89","82.61","1416","1394","MEDIUM","0","1985-10-09",""
"1985-094C","COSMOS 1692","16140","CIS","113.84","82.60","1416","1390","MEDIUM","0","1985-10-09",""
"1985-094B","COSMOS 1691","16139","CIS","114.07","82.61","1415","1411","LARGE","0","1985-10-09",""
"1985-094A","COSMOS 1690","16138","CIS","113.74","82.61","1414","1382","LARGE","0","1985-10-09",""
"1985-093B","ATLAS 55E R/B","16137","US","368.26","63.82","20308","973","LARGE","0","1985-10-09",""
"1985-093A","NAVSTAR 11 (USA 10)","16129","US","760.42","62.68","21857","20581","MEDIUM","0","1985-10-09",""
"1985-092E","IUS R/B(2)","16119","US","","","","","","0","1985-10-03","NO ELEMENTS AVAILABLE"
"1985-092D","IUS R/B(1)","16118","US","","","","","","0","1985-10-03","NO ELEMENTS AVAILABLE"
"1985-092C","USA 12","16117","US","","","","","","0","1985-10-03","NO ELEMENTS AVAILABLE"
"1985-092B","USA 11","16116","US","","","","","","0","1985-10-03","NO ELEMENTS AVAILABLE"
"1985-090B","SL-3 R/B","16111","CIS","92.74","97.36","420","398","LARGE","0","1985-10-03",""
"1985-088D","SL-6 R/B(2)","16106","CIS","703.65","67.84","35239","4416","LARGE","0","1985-09-30",""
"1985-088A","COSMOS 1687","16103","CIS","718.19","69.70","34027","6348","LARGE","0","1985-09-30",""
"1985-087A","INTELSAT 512","16101","ITSO","1452.87","15.43","36152","36077","LARGE","0","1985-09-28",""
"1985-084D","SL-6 R/B(2)","16070","CIS","705.98","70.41","32658","7112","LARGE","0","1985-09-24",""
"1985-084A","COSMOS 1684","16064","CIS","718.21","67.11","36129","4247","LARGE","0","1985-09-24",""
"1985-066F","SCOUT G-1 DEB","16020","US","107.44","90.28","1212","1004","SMALL","0","1985-08-03",""
"1985-079B","SL-8 R/B","16012","CIS","100.26","74.06","781","761","LARGE","0","1985-09-04",""
"1985-079A","COSMOS 1680","16011","CIS","100.48","74.05","791","771","LARGE","0","1985-09-04",""
"1985-076G","ASC 1 R/B(PAM-D)","16007","US","611.47","26.99","34585","387","LARGE","0","1985-08-27",""
"1985-076F","LEASAT 4 PKM","16001","US","264.88","27.39","14190","378","LARGE","0","1985-08-27",""
"1985-076E","OPTUS A1 R/B(PAM-D)","15996","US","609.91","26.35","34494","397","LARGE","0","1985-08-27",""
"1985-076D","LEASAT 4","15995","US","1472.39","13.79","36531","36457","LARGE","0","1985-08-27",""
"1985-076C","ASC 1","15994","US","1436.63","15.13","35818","35776","LARGE","0","1985-08-27",""
"1985-076B","OPTUS A1 (AUSSAT 1)","15993","AUS","1443.48","15.32","35952","35910","MEDIUM","0","1985-08-27",""
"1985-075A","COSMOS 1677","15986","CIS","103.86","64.68","987","894","LARGE","0","1985-08-23",""
"1985-073C","M-3S2 R/B(2)","15969","JPN","","","","","","0","1985-08-18","HELIOCENTRIC ORBIT (SUN)"
"1985-073A","SUISEI","15967","JPN","","","","","","0","1985-08-18","HELIOCENTRIC ORBIT (SUN)"
"1985-070F","SL-12 R/B(2)","15963","CIS","1472.32","15.37","36529","36456","LARGE","0","1985-08-08",""
"1985-071A","COSMOS 1675","15952","CIS","472.70","64.57","27158","288","LARGE","0","1985-08-12",""
"1985-066E","SCOUT G-1 DEB","15951","US","104.38","89.80","1063","867","SMALL","0","1985-08-03",""
"1985-066D","SCOUT G-1 DEB","15950","US","103.71","89.93","1019","849","SMALL","0","1985-08-03",""
"1985-070A","RADUGA 16","15946","CIS","1436.91","14.31","35816","35789","LARGE","0","1985-08-08",""
"1985-069B","SL-14 R/B","15945","CIS","97.04","82.53","630","604","LARGE","0","1985-08-08",""
"1985-069A","COSMOS 1674","15944","CIS","94.84","82.51","524","498","LARGE","0","1985-08-08",""
"1985-066C","SCOUT G-1 R/B","15938","US","107.86","90.12","1255","1001","MEDIUM","0","1985-08-03",""
"1985-066B","OSCAR 24","15936","US","107.82","90.12","1253","999","LARGE","0","1985-08-03",""
"1985-066A","OSCAR 30","15935","US","107.81","90.13","1252","999","LARGE","0","1985-08-03",""
"1985-064A","COSMOS 1670","15930","CIS","104.07","64.94","997","904","LARGE","0","1985-08-01",""
"1985-058B","SL-14 R/B","15890","CIS","97.08","82.53","633","605","LARGE","0","1985-07-08",""
"1985-058A","COSMOS 1666","15889","CIS","94.89","82.49","526","500","LARGE","0","1985-07-08",""
