0 - 1 - 2      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.793524305	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 3      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.794600694	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 4      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.795410879	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 5      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.796753472	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 6      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.797841435	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 7      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.798651620	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 8      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.800260416	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 9      	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.801880787	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 1 - 10     	58018.79109375 	0.0            	0.0            	0.0            	58018.791637731	0.0            	0.0            	0.0            	58018.80296875 	0.0            	0.0            	0.0            	58018.791637731	NaN            	NaN            	NaN            
0 - 2 - 3      	58018.79109375 	0.0            	0.0            	0.0            	58018.793524305	0.0            	0.0            	0.0            	58018.794600694	0.0            	0.0            	0.0            	58018.793524305	NaN            	NaN            	NaN            
0 - 2 - 4      	58018.79109375 	0.0            	0.0            	0.0            	58018.793524305	0.0            	0.0            	0.0            	58018.795410879	0.0            	0.0            	0.0            	58018.793524305	NaN            	NaN            	NaN            
0 - 2 - 5      	58018.79109375 	0.0            	0.0            	0.0            	58018.793524305	0.0            	0.0            	0.0            	58018.796753472	0.0            	0.0            	0.0            	58018.793524305	NaN            	NaN            	NaN            
0 - 2 - 6      	58018.79109375 	8.1152008012827	-1.037047450204	2.2002256925493	58018.793524305	8.1126723991288	-1.034909426289	2.1955716353325	58018.797841435	8.1080329437835	-1.031092949502	2.1872649643393	58018.793524305	-121.8321883393	1019.9394054893	-222.0106369791
0 - 2 - 7      	58018.79109375 	6.1237123417094	-7.838131336810	1.7640013139606	58018.793524305	6.1286768728734	-7.828213116884	1.7617257192759	58018.798651620	6.1388060957523	-7.806851883565	1.7568266125990	58018.793524305	233.91732086056	475.48188462617	-109.0786048959
0 - 2 - 8      	58018.79109375 	0.0            	0.0            	0.0            	58018.793524305	0.0            	0.0            	0.0            	58018.800260416	0.0            	0.0            	0.0            	58018.793524305	NaN            	NaN            	NaN            
0 - 2 - 9      	58018.79109375 	0.0            	0.0            	0.0            	58018.793524305	0.0            	0.0            	0.0            	58018.801880787	0.0            	0.0            	0.0            	58018.793524305	NaN            	NaN            	NaN            
0 - 2 - 10     	58018.79109375 	0.0            	0.0            	0.0            	58018.793524305	0.0            	0.0            	0.0            	58018.80296875 	0.0            	0.0            	0.0            	58018.793524305	NaN            	NaN            	NaN            
0 - 3 - 4      	58018.79109375 	0.0            	0.0            	0.0            	58018.794600694	0.0            	0.0            	0.0            	58018.795410879	0.0            	0.0            	0.0            	58018.794600694	NaN            	NaN            	NaN            
0 - 3 - 5      	58018.79109375 	0.0            	0.0            	0.0            	58018.794600694	0.0            	0.0            	0.0            	58018.796753472	0.0            	0.0            	0.0            	58018.794600694	NaN            	NaN            	NaN            
0 - 3 - 6      	58018.79109375 	3.4890114530023	-4.441700359672	8.0651203882419	58018.794600694	3.5131321966739	-4.465915491710	8.0973331245709	58018.797841435	3.5354213880557	-4.488291742641	8.1270992757783	58018.794600694	NaN            	NaN            	NaN            
0 - 3 - 7      	58018.79109375 	7.4077482926515	-9.470889813841	2.0452621880032	58018.794600694	7.4624949216615	-9.515137178410	2.0516449998506	58018.798651620	7.5255494650893	-9.566013240339	2.0589672709040	58018.794600694	1804.3795078510	-1457.190465223	209.98049654287
0 - 3 - 8      	58018.79109375 	0.0            	0.0            	0.0            	58018.794600694	0.0            	0.0            	0.0            	58018.800260416	0.0            	0.0            	0.0            	58018.794600694	NaN            	NaN            	NaN            
0 - 3 - 9      	58018.79109375 	0.0            	0.0            	0.0            	58018.794600694	0.0            	0.0            	0.0            	58018.801880787	0.0            	0.0            	0.0            	58018.794600694	NaN            	NaN            	NaN            
0 - 3 - 10     	58018.79109375 	0.0            	0.0            	0.0            	58018.794600694	0.0            	0.0            	0.0            	58018.80296875 	0.0            	0.0            	0.0            	58018.794600694	NaN            	NaN            	NaN            
0 - 4 - 5      	58018.79109375 	0.0            	0.0            	0.0            	58018.795410879	0.0            	0.0            	0.0            	58018.796753472	0.0            	0.0            	0.0            	58018.795410879	NaN            	NaN            	NaN            
0 - 4 - 6      	58018.79109375 	0.0            	0.0            	0.0            	58018.795410879	0.0            	0.0            	0.0            	58018.797841435	0.0            	0.0            	0.0            	58018.795410879	NaN            	NaN            	NaN            
