01234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789
Note  ---->  Method_1: 0-Bucerius, 1-Escobal, Method_2: 0-Gauss, 1-Escobal 

eph              a [km]       e            i [deg]      omega [deg]  Omega [deg]  Ma(t) [deg]  Method_1     Method_2     q            Epoch MJD [days]
Expected         0.0          0.0          0.0          0.0          0.0          0.0          -            -            0.0        

0 - 1 - 2      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 1 - 3      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 1 - 4      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 1 - 5      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 1 - 6      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 1 - 7      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 1 - 8      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 1 - 9      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9016216435

0 - 2 - 3      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90226     

0 - 2 - 4      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90226     

0 - 2 - 5      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90226     

0 - 2 - 6      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90226     

0 - 2 - 7      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90226     

0 - 2 - 8      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90226     

0 - 2 - 9      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90226     

0 - 3 - 4      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9033      

0 - 3 - 5      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9033      

0 - 3 - 6      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9033      

0 - 3 - 7      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9033      

0 - 3 - 8      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9033      

0 - 3 - 9      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.9033      

0 - 4 - 5      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90374     

0 - 4 - 6      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90374     

0 - 4 - 7      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90374     

0 - 4 - 8      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90374     

0 - 4 - 9      	NaN        	0.0        	0.0        	0.0        	0.0        	NaN        	0          	1          	NaN        	55185.90374     

